编号	定义文件	标题	需求状态	优先级	来源	关联需求	设计证据	实现证据	自动化证据	真实环境证据	最终状态	最近检查
GOAL-01	doc/requirements/v1/01-product-scope.md	复用已有课程资产	已接受	—	—	—					待设计	
GOAL-02	doc/requirements/v1/01-product-scope.md	把被动观看变成有反馈的学习过程	已接受	—	—	—					待设计	
GOAL-03	doc/requirements/v1/01-product-scope.md	形成可验证的单机课程交付闭环	已接受	—	—	—					待设计	
SUCCESS-01	doc/requirements/v1/01-product-scope.md	老师能够完成真实课程制作	已接受	—	—	—					待设计	
SUCCESS-02	doc/requirements/v1/01-product-scope.md	学生能够完成真实课程学习	已接受	—	—	—					待设计	
SUCCESS-03	doc/requirements/v1/01-product-scope.md	学生能够恢复本机课程与学习状态	已接受	—	—	—					待设计	
SUCCESS-04	doc/requirements/v1/01-product-scope.md	闭环能够重复	已接受	—	—	—					待设计	
SUCCESS-05	doc/requirements/v1/01-product-scope.md	产品能够安全运营	已接受	—	—	—					待设计	
SUCCESS-06	doc/requirements/v1/01-product-scope.md	真实老师能够提交试用申请并进入人工接入	已接受	—	—	—					待设计	
SCOPE-01	doc/requirements/v1/01-product-scope.md	受控的教师接入	已接受	—	—	—					待设计	
SCOPE-02	doc/requirements/v1/01-product-scope.md	工作空间、课程与课节管理	已接受	—	—	—					待设计	
SCOPE-03	doc/requirements/v1/01-product-scope.md	结构化互动课程制作	已接受	—	—	—					待设计	
SCOPE-04	doc/requirements/v1/01-product-scope.md	课程授权、领取与更新	已接受	—	—	—					待设计	
SCOPE-05	doc/requirements/v1/01-product-scope.md	学生课程运行时	已接受	—	—	—					待设计	
SCOPE-06	doc/requirements/v1/01-product-scope.md	单机学习标识与本地学习状态	已接受	—	—	—					待设计	
SCOPE-07	doc/requirements/v1/01-product-scope.md	教师查看学习反馈与完成情况（后续阶段候选）	已接受	—	—	—					待设计	
SCOPE-08	doc/requirements/v1/01-product-scope.md	平台管理与运营闭环	已接受	—	—	—					待设计	
SCOPE-09	doc/requirements/v1/01-product-scope.md	数据可携带与可恢复	已接受	—	—	—					待设计	
SCOPE-10	doc/requirements/v1/01-product-scope.md	公开试用申请与人工接入	已接受	—	—	—					待设计	
CONSTRAINT-01	doc/requirements/v1/01-product-scope.md	定时互动依赖可控制的播放环境	已接受	—	—	—					待设计	
CONSTRAINT-02	doc/requirements/v1/01-product-scope.md	宿主平台能力与政策构成外部边界	已接受	—	—	—					待设计	
CONSTRAINT-03	doc/requirements/v1/01-product-scope.md	现有生产数据和版本需要保护	已接受	—	—	—					待设计	
CONSTRAINT-04	doc/requirements/v1/01-product-scope.md	本机学习状态不得冒充服务端事实	已接受	—	—	—					待设计	
CONSTRAINT-05	doc/requirements/v1/01-product-scope.md	隐私、安全与可解释性不能后补	已接受	—	—	—					待设计	
CONSTRAINT-06	doc/requirements/v1/01-product-scope.md	需求、设计、实现和证据必须可追溯	已接受	—	—	—					待设计	
SCN-PUB-01	doc/requirements/v1/03-user-scenarios.md	从公开销售页提交试用申请	已接受	—	—	—					待设计	
SCN-ADM-01	doc/requirements/v1/03-user-scenarios.md	受控创建教师	已接受	—	—	—					待设计	
SCN-ADM-02	doc/requirements/v1/03-user-scenarios.md	停用与恢复教师账号	已接受	—	—	—					待设计	
SCN-ADM-03	doc/requirements/v1/03-user-scenarios.md	受控支持、排障与恢复	已接受	—	—	—					待设计	
SCN-ADM-04	doc/requirements/v1/03-user-scenarios.md	管理员登录、恢复会话并退出	已接受	—	—	—					待设计	
SCN-ADM-05	doc/requirements/v1/03-user-scenarios.md	重置教师密码	已接受	—	—	—					待设计	
SCN-TCH-01	doc/requirements/v1/03-user-scenarios.md	登录并进入自己的工作空间	已接受	—	—	—					待设计	
SCN-TCH-02	doc/requirements/v1/03-user-scenarios.md	建立课程、课节与视频引用	已接受	—	—	—					待设计	
SCN-TCH-03	doc/requirements/v1/03-user-scenarios.md	准备时间依据并制作互动脚本	已接受	—	—	—					待设计	
SCN-TCH-04	doc/requirements/v1/03-user-scenarios.md	真实预览并发布课程	已接受	—	—	—					待设计	
SCN-TCH-05	doc/requirements/v1/03-user-scenarios.md	创建并交付课程授权	已接受	—	—	—					待设计	
SCN-TCH-06	doc/requirements/v1/03-user-scenarios.md	更新、归档或停止继续分发	已接受	—	—	—					待设计	
SCN-TCH-09	doc/requirements/v1/03-user-scenarios.md	管理课程版本并生成版本级授权码	已接受	—	—	—					待设计	
SCN-TCH-07	doc/requirements/v1/03-user-scenarios.md	查看学习反馈、完成情况并导出学习证据（后续阶段候选）	已接受	—	—	—					待设计	
SCN-TCH-08	doc/requirements/v1/03-user-scenarios.md	导出并重新导入课程配置	已接受	—	—	—					待设计	
SCN-STU-01	doc/requirements/v1/03-user-scenarios.md	首次进入并领取课程	已接受	—	—	—					待设计	
SCN-STU-02	doc/requirements/v1/03-user-scenarios.md	在匹配视频中完成互动课节	已接受	—	—	—					待设计	
SCN-STU-03	doc/requirements/v1/03-user-scenarios.md	弱网、离线与恢复本机学习	已接受	—	—	—					待设计	
